park_key,date,ndvi_mean,ndvi_min,ndvi_max,cloud_coverage,image_url,ndvi_map_url,thermal_map_url
lodhi_garden,2026-01-17,0.4664938,0.4324,0.5093,,,,
lodhi_garden,2026-02-02,0.4969812,0.4488,0.5831,,,,
lodhi_garden,2026-02-18,0.4730875,0.3859,0.5684,,,,
lodhi_garden,2026-03-06,0.5607625,0.4787,0.7076,,,,
lodhi_garden,2026-03-22,0.5503438,0.5301,0.5728,,,,
nehru_park,2026-01-17,0.45885,0.4154,0.4925,,,,
nehru_park,2026-02-02,0.474075,0.4152,0.5362,,,,
nehru_park,2026-02-18,0.401375,0.3458,0.5375,,,,
nehru_park,2026-03-06,0.4844917,0.3988,0.5743,,,,
nehru_park,2026-03-22,0.527525,0.4225,0.5975,,,,
deer_park_hauz_khas,2026-01-17,0.55945,0.3796,0.7073,,,,
deer_park_hauz_khas,2026-02-02,0.4610312,0.2828,0.5915,,,,
deer_park_hauz_khas,2026-02-18,0.4837938,0.3466,0.6262,,,,
deer_park_hauz_khas,2026-03-06,0.5610562,0.2133,0.743,,,,
deer_park_hauz_khas,2026-03-22,0.5668938,0.2514,0.6777,,,,
garden_of_five_senses,2026-01-17,0.2051333,0.1138,0.3183,,,,
garden_of_five_senses,2026-02-02,0.2296333,0.1308,0.3578,,,,
garden_of_five_senses,2026-02-18,0.2666889,0.1586,0.441,,,,
garden_of_five_senses,2026-03-06,0.2622444,0.1611,0.3957,,,,
garden_of_five_senses,2026-03-22,0.2498111,0.1936,0.3109,,,,